,loss=1,test=1,loss=2,test=2,loss=3,test=3,loss=4,test=4,loss=5,test=5
0,tensor(11.7251),0.886,tensor(11.8470),0.867,tensor(10.0991),0.892,tensor(10.7313),0.881,tensor(10.6364),0.877
1,tensor(10.5675),0.899,tensor(10.6421),0.902,tensor(9.7102),0.906,tensor(10.0054),0.901,tensor(9.8467),0.899
2,tensor(10.1047),0.914,tensor(10.1330),0.907,tensor(9.4613),0.915,tensor(9.6872),0.909,tensor(9.5179),0.912
3,tensor(9.7988),0.923,tensor(9.8154),0.921,tensor(9.2617),0.925,tensor(9.5691),0.915,tensor(9.3178),0.927
4,tensor(9.6843),0.92,tensor(9.6522),0.927,tensor(9.3516),0.921,tensor(9.4633),0.919,tensor(9.1867),0.934
5,tensor(9.5445),0.927,tensor(9.4751),0.933,tensor(9.3159),0.921,tensor(9.4665),0.916,tensor(9.1065),0.937
6,tensor(9.4210),0.931,tensor(9.3556),0.935,tensor(9.2061),0.922,tensor(9.3872),0.926,tensor(9.0483),0.935
7,tensor(9.3280),0.937,tensor(9.3230),0.937,tensor(9.1297),0.932,tensor(9.3788),0.919,tensor(8.9537),0.943
8,tensor(9.2905),0.94,tensor(9.2671),0.931,tensor(9.0612),0.935,tensor(9.2926),0.928,tensor(8.8916),0.944
9,tensor(9.1969),0.938,tensor(9.2202),0.943,tensor(9.0840),0.928,tensor(9.2400),0.928,tensor(8.9171),0.952
10,tensor(9.0972),0.946,tensor(9.1088),0.95,tensor(9.0880),0.926,tensor(9.2354),0.933,tensor(8.8918),0.952
11,tensor(9.0955),0.941,tensor(9.0794),0.943,tensor(9.1250),0.927,tensor(9.2173),0.933,tensor(8.8882),0.958
12,tensor(9.0744),0.945,tensor(8.9620),0.955,tensor(9.1288),0.933,tensor(9.1090),0.931,tensor(8.8309),0.955
13,tensor(9.0538),0.945,tensor(8.9438),0.959,tensor(9.0499),0.929,tensor(9.1385),0.938,tensor(8.8167),0.952
14,tensor(9.0025),0.945,tensor(8.9730),0.956,tensor(9.0485),0.938,tensor(9.1099),0.934,tensor(8.8503),0.955
15,tensor(8.9922),0.946,tensor(8.9071),0.954,tensor(8.9866),0.94,tensor(9.1015),0.942,tensor(8.7578),0.953
16,tensor(8.8677),0.952,tensor(8.8292),0.964,tensor(8.9665),0.935,tensor(9.1572),0.933,tensor(8.8489),0.951
17,tensor(8.8355),0.953,tensor(8.8647),0.96,tensor(8.9288),0.938,tensor(9.1212),0.936,tensor(8.8268),0.954
18,tensor(8.8210),0.962,tensor(8.8847),0.958,tensor(8.9535),0.94,tensor(9.0706),0.938,tensor(8.9032),0.945
19,tensor(8.8223),0.958,tensor(8.8360),0.96,tensor(8.9148),0.941,tensor(9.0636),0.936,tensor(8.7871),0.958
20,tensor(8.8230),0.957,tensor(8.8415),0.959,tensor(8.9301),0.945,tensor(9.0985),0.942,tensor(8.7541),0.961
21,tensor(8.7327),0.963,tensor(8.8292),0.953,tensor(8.8703),0.943,tensor(9.0677),0.945,tensor(8.8268),0.953
22,tensor(8.7373),0.967,tensor(8.7968),0.96,tensor(8.8994),0.945,tensor(9.0192),0.943,tensor(8.6780),0.959
23,tensor(8.7399),0.96,tensor(8.7137),0.967,tensor(9.0017),0.938,tensor(8.9949),0.943,tensor(8.7455),0.959
24,tensor(8.6812),0.966,tensor(8.7558),0.961,tensor(8.8589),0.944,tensor(8.9803),0.946,tensor(8.7774),0.949
25,tensor(8.7057),0.961,tensor(8.7575),0.959,tensor(8.8963),0.947,tensor(9.0156),0.943,tensor(8.7419),0.961
26,tensor(8.6859),0.96,tensor(8.7647),0.963,tensor(8.8927),0.945,tensor(8.9392),0.945,tensor(8.7727),0.961
27,tensor(8.7181),0.964,tensor(8.6296),0.966,tensor(8.8782),0.937,tensor(8.9159),0.949,tensor(8.7681),0.96
28,tensor(8.7101),0.968,tensor(8.6626),0.971,tensor(8.8301),0.942,tensor(8.9202),0.947,tensor(8.7219),0.957
29,tensor(8.6472),0.96,tensor(8.6380),0.97,tensor(8.7880),0.95,tensor(8.9096),0.947,tensor(8.7620),0.955
30,tensor(8.7314),0.965,tensor(8.6238),0.969,tensor(8.9171),0.946,tensor(8.8658),0.949,tensor(8.8053),0.951
31,tensor(8.7111),0.963,tensor(8.6983),0.964,tensor(8.8710),0.937,tensor(8.9703),0.94,tensor(8.6830),0.958
32,tensor(8.7942),0.963,tensor(8.7239),0.959,tensor(8.8469),0.945,tensor(8.8673),0.949,tensor(8.8009),0.95
33,tensor(8.6120),0.968,tensor(8.7075),0.963,tensor(8.8756),0.944,tensor(8.9370),0.946,tensor(8.7339),0.959
34,tensor(8.5923),0.966,tensor(8.6201),0.967,tensor(8.8656),0.945,tensor(8.9362),0.942,tensor(8.6888),0.968
35,tensor(8.6536),0.968,tensor(8.6540),0.967,tensor(8.8543),0.944,tensor(8.9593),0.941,tensor(8.7584),0.956
36,tensor(8.6228),0.965,tensor(8.6333),0.968,tensor(8.8272),0.945,tensor(8.9118),0.945,tensor(8.6878),0.961
37,tensor(8.6105),0.97,tensor(8.6848),0.962,tensor(8.9352),0.946,tensor(8.9104),0.947,tensor(8.6969),0.96
38,tensor(8.6111),0.968,tensor(8.5897),0.969,tensor(8.8870),0.946,tensor(8.9340),0.946,tensor(8.6795),0.96
39,tensor(8.6419),0.967,tensor(8.6892),0.965,tensor(8.8602),0.944,tensor(8.9341),0.94,tensor(8.6733),0.963
40,tensor(8.6044),0.971,tensor(8.7155),0.966,tensor(8.7758),0.949,tensor(8.9855),0.945,tensor(8.6469),0.958
41,tensor(8.5322),0.972,tensor(8.5915),0.969,tensor(8.7799),0.944,tensor(9.0007),0.944,tensor(8.6676),0.958
42,tensor(8.5171),0.976,tensor(8.6332),0.967,tensor(8.7833),0.954,tensor(8.9262),0.944,tensor(8.6832),0.961
43,tensor(8.5607),0.971,tensor(8.6252),0.967,tensor(8.7753),0.954,tensor(8.9035),0.947,tensor(8.7013),0.958
44,tensor(8.5949),0.968,tensor(8.5999),0.971,tensor(8.7856),0.952,tensor(8.9238),0.94,tensor(8.7106),0.961
45,tensor(8.6022),0.969,tensor(8.6088),0.971,tensor(8.8049),0.951,tensor(8.9576),0.942,tensor(8.6264),0.966
46,tensor(8.6088),0.969,tensor(8.6340),0.97,tensor(8.7890),0.953,tensor(8.9146),0.943,tensor(8.6718),0.963
47,tensor(8.5974),0.966,tensor(8.6069),0.969,tensor(8.8137),0.946,tensor(8.8646),0.947,tensor(8.6707),0.965
48,tensor(8.5438),0.974,tensor(8.6184),0.965,tensor(8.7354),0.951,tensor(8.8650),0.948,tensor(8.6103),0.967
49,tensor(8.5050),0.976,tensor(8.5390),0.973,tensor(8.7322),0.954,tensor(8.8814),0.946,tensor(8.6493),0.967
50,tensor(8.4845),0.979,tensor(8.6160),0.963,tensor(8.7920),0.949,tensor(8.8145),0.948,tensor(8.7117),0.964
51,tensor(8.5340),0.969,tensor(8.5959),0.967,tensor(8.7516),0.95,tensor(8.7930),0.949,tensor(8.6107),0.966
52,tensor(8.5370),0.971,tensor(8.6509),0.967,tensor(8.9532),0.953,tensor(8.8036),0.949,tensor(8.6359),0.967
53,tensor(8.5695),0.97,tensor(8.5829),0.971,tensor(8.7850),0.951,tensor(8.8641),0.945,tensor(8.6993),0.955
54,tensor(8.5532),0.974,tensor(8.6374),0.965,tensor(8.8182),0.955,tensor(8.8470),0.948,tensor(8.6664),0.962
55,tensor(8.5228),0.978,tensor(8.6032),0.967,tensor(8.7200),0.953,tensor(8.8612),0.946,tensor(8.6214),0.969
56,tensor(8.5467),0.971,tensor(8.6039),0.966,tensor(8.7538),0.95,tensor(8.8315),0.947,tensor(8.6420),0.961
57,tensor(8.5068),0.973,tensor(8.6470),0.96,tensor(8.7598),0.957,tensor(8.8233),0.948,tensor(8.6247),0.961
58,tensor(8.5415),0.972,tensor(8.5324),0.977,tensor(8.7940),0.952,tensor(8.8431),0.949,tensor(8.6189),0.962
59,tensor(8.5589),0.969,tensor(8.5860),0.971,tensor(8.7337),0.952,tensor(8.8540),0.948,tensor(8.6069),0.966
