,loss=1,test=1,loss=2,test=2,loss=3,test=3
0,tensor(12.2497),0.85,tensor(11.7251),0.886,tensor(11.2885),0.884
1,tensor(10.9121),0.886,tensor(10.5675),0.899,tensor(10.1820),0.917
2,tensor(10.4479),0.897,tensor(10.1047),0.914,tensor(9.8136),0.926
3,tensor(10.0966),0.908,tensor(9.7988),0.923,tensor(9.6207),0.924
4,tensor(9.8821),0.916,tensor(9.6843),0.92,tensor(9.5136),0.934
5,tensor(9.7702),0.917,tensor(9.5445),0.927,tensor(9.3478),0.944
6,tensor(9.6508),0.924,tensor(9.4210),0.931,tensor(9.2506),0.942
7,tensor(9.5582),0.924,tensor(9.3280),0.937,tensor(9.2098),0.938
8,tensor(9.4673),0.925,tensor(9.2905),0.94,tensor(9.1181),0.953
9,tensor(9.3966),0.927,tensor(9.1969),0.938,tensor(9.0470),0.951
10,tensor(9.3894),0.931,tensor(9.0972),0.946,tensor(9.0362),0.948
11,tensor(9.2689),0.934,tensor(9.0955),0.941,tensor(8.9524),0.955
12,tensor(9.2158),0.935,tensor(9.0744),0.945,tensor(8.8757),0.959
13,tensor(9.1693),0.943,tensor(9.0538),0.945,tensor(8.9385),0.956
14,tensor(9.1883),0.937,tensor(9.0025),0.945,tensor(8.9116),0.957
15,tensor(9.1317),0.94,tensor(8.9922),0.946,tensor(8.8797),0.958
16,tensor(9.1943),0.934,tensor(8.8677),0.952,tensor(8.8628),0.959
17,tensor(9.1103),0.942,tensor(8.8355),0.953,tensor(8.7803),0.965
18,tensor(9.0026),0.945,tensor(8.8210),0.962,tensor(8.7159),0.966
19,tensor(8.9953),0.953,tensor(8.8223),0.958,tensor(11.9753),0.969
20,tensor(9.0152),0.947,tensor(8.8230),0.957,tensor(9.3728),0.965
21,tensor(8.9575),0.951,tensor(8.7327),0.963,tensor(9.0713),0.964
22,tensor(8.9136),0.948,tensor(8.7373),0.967,tensor(8.9295),0.964
23,tensor(8.9268),0.954,tensor(8.7399),0.96,tensor(8.8520),0.965
24,tensor(8.9700),0.949,tensor(8.6812),0.966,tensor(8.8145),0.967
25,tensor(8.9079),0.954,tensor(8.7057),0.961,tensor(8.7920),0.966
26,tensor(8.9185),0.949,tensor(8.6859),0.96,tensor(8.7550),0.967
27,tensor(8.9301),0.947,tensor(8.7181),0.964,tensor(8.7097),0.963
28,tensor(8.8595),0.951,tensor(8.7101),0.968,tensor(8.7644),0.963
29,tensor(8.8102),0.959,tensor(8.6472),0.96,tensor(8.7477),0.96
30,tensor(8.8223),0.96,tensor(8.7314),0.965,tensor(9.3715),0.962
31,tensor(8.8860),0.951,tensor(8.7111),0.963,tensor(9.0645),0.959
32,tensor(8.8042),0.961,tensor(8.7942),0.963,tensor(8.9238),0.963
33,tensor(8.8462),0.955,tensor(8.6120),0.968,tensor(8.8497),0.964
34,tensor(8.7932),0.956,tensor(8.5923),0.966,tensor(8.7964),0.959
35,tensor(8.8104),0.956,tensor(8.6536),0.968,tensor(8.7995),0.964
36,tensor(8.8095),0.96,tensor(8.6228),0.965,tensor(8.7116),0.967
37,tensor(8.7155),0.965,tensor(8.6105),0.97,tensor(8.7032),0.967
38,tensor(8.7065),0.965,tensor(8.6111),0.968,tensor(8.6903),0.97
39,tensor(8.6983),0.962,tensor(8.6419),0.967,tensor(8.7048),0.965
40,tensor(8.7342),0.96,tensor(8.6044),0.971,tensor(8.6621),0.966
41,tensor(8.6609),0.967,tensor(8.5322),0.972,tensor(9.8961),0.962
42,tensor(8.7355),0.96,tensor(8.5171),0.976,tensor(9.1545),0.964
43,tensor(8.7151),0.961,tensor(8.5607),0.971,tensor(8.9837),0.963
44,tensor(8.7955),0.962,tensor(8.5949),0.968,tensor(8.8819),0.965
45,tensor(8.7371),0.963,tensor(8.6022),0.969,tensor(8.8131),0.968
46,tensor(8.6654),0.967,tensor(8.6088),0.969,tensor(8.7959),0.962
47,tensor(8.7208),0.96,tensor(8.5974),0.966,tensor(8.7332),0.967
48,tensor(8.6728),0.964,tensor(8.5438),0.974,tensor(8.7189),0.964
49,tensor(8.6935),0.962,tensor(8.5050),0.976,tensor(8.6606),0.97
50,tensor(8.6315),0.968,tensor(8.4845),0.979,tensor(8.6486),0.969
51,tensor(8.6500),0.964,tensor(8.5340),0.969,tensor(8.6518),0.966
52,tensor(8.6529),0.967,tensor(8.5370),0.971,tensor(8.6641),0.966
53,tensor(8.6801),0.963,tensor(8.5695),0.97,tensor(8.6374),0.969
54,tensor(8.7005),0.961,tensor(8.5532),0.974,tensor(8.6345),0.97
55,tensor(8.6542),0.961,tensor(8.5228),0.978,tensor(8.5818),0.971
56,tensor(8.6404),0.969,tensor(8.5467),0.971,tensor(8.5408),0.97
57,tensor(8.6770),0.964,tensor(8.5068),0.973,tensor(8.5745),0.971
58,tensor(8.5765),0.968,tensor(8.5415),0.972,tensor(8.5678),0.971
59,tensor(8.5911),0.969,tensor(8.5589),0.969,tensor(8.5399),0.971
